"","feature","exposure","coef","stderr","pval","k","tau2","stderr.tau2","pval.tau2","I2","H2","weight_FengQ_2015.metaphlan_bugs_list.stool","weight_HanniganGD_2017.metaphlan_bugs_list.stool","weight_VogtmannE_2016.metaphlan_bugs_list.stool","weight_YuJ_2015.metaphlan_bugs_list.stool","weight_ZellerG_2014.metaphlan_bugs_list.stool","pval.bonf","qval.fdr"
"s__Clostridium_perfringens","s__Clostridium_perfringens","CRC",-0.00045061658672259,0.000876440214193159,0.607151229597799,5,0,2.73068890250313e-06,0.98635478805619,0,1,15.9442123236609,43.4335439475914,16.4788214020362,7.97068137719981,16.1727409495116,1,0.858145407156667
"s__Aggregatibacter_unclassified","s__Aggregatibacter_unclassified","CRC",0.000176939529761072,0.000137128435683661,0.196939660049824,4,4.32109865493981e-08,6.08189539161519e-08,0.13933884630778,62.8675210919693,2.69306017106153,30.1498050224185,NA,36.4277543258601,10.9008528568462,22.5215877948752,1,0.546172210559809
"s__Leuconostoc_phage_P793","s__Leuconostoc_phage_P793","CRC",-0.000664801737978465,0.000627387303823511,0.289310544792085,2,0,1.81402193541722e-06,0.898140206913783,0,1,81.0755073968178,NA,NA,NA,18.9244926031822,1,0.630749115672835
"s__Haemophilus_haemolyticus","s__Haemophilus_haemolyticus","CRC",4.35013880556896e-05,4.32981987128756e-05,0.315044801121048,4,1.0520965404045e-09,2.27430331886006e-08,0.41265771415861,3.10929813760198,1.03209077938168,91.308959747955,NA,1.56889127391039,3.23927846869258,3.88287050944205,1,0.64885822869186
"s__Leptotrichia_unclassified","s__Leptotrichia_unclassified","CRC",0.000808775105719938,0.000490916626236429,0.0994595148408216,4,5.19551076982143e-07,8.09419390634972e-07,0.200807663458504,55.7613128228479,2.26046490935759,44.2844623058111,NA,19.4914499792804,17.5475008803439,18.6765868345645,1,0.404809080140321
"s__Lachnospiraceae_bacterium_2_1_46FAA","s__Lachnospiraceae_bacterium_2_1_46FAA","CRC",0.000847120708964175,0.00121698348225011,0.486377266044164,3,2.45272536606028e-06,4.64233273351191e-06,0.138579664517961,58.1333664495518,2.38853692116187,55.0819991979399,NA,9.95789161405744,34.9601091880026,NA,1,0.794172335915127
"s__Shigella_flexneri","s__Shigella_flexneri","CRC",6.53543598414008e-05,6.90514154373236e-05,0.343914331045879,4,0,1.51863023668446e-08,0.545578168336762,0,1,20.2555819405271,NA,36.7620562335764,6.9901107831064,35.9922510427901,1,0.665818144904821
"s__Leuconostoc_unclassified","s__Leuconostoc_unclassified","CRC",4.2877775974279e-05,0.000101254079902284,0.671954465896334,5,0,3.32697634834044e-08,0.978124576102388,0,1,31.0428040843213,0.290451121621886,30.5235426109985,12.5618125543486,25.5813896287098,1,0.904339613543188
"s__Atopobium_minutum","s__Atopobium_minutum","CRC",0.00048485546387029,0.000199656012758448,0.015163344112306,4,0,1.69566798891039e-07,0.818801093892513,0,1,71.3393608686387,NA,11.5747915327609,1.17946677190411,15.9063808266963,1,0.138472802836907
"s__Fusobacterium_necrophorum","s__Fusobacterium_necrophorum","CRC",0.00177584863870547,0.00119563776487561,0.13747148819058,4,2.36362754023347e-06,4.80981357434847e-06,0.227820745738699,43.1855831760983,1.76011663219133,29.6124643720226,6.12051023904345,56.0796266064479,NA,8.18739878248609,1,0.494906911555519
"s__Succinatimonas_hippei","s__Succinatimonas_hippei","CRC",-1.67965353980165e-05,0.000120849921391297,0.88946063517341,4,1.97960135077949e-08,4.26027475889253e-08,0.228185183732891,39.5238470848341,1.65354433408284,52.5530649135069,NA,1.2592646681061,44.8345108149117,1.35315960347528,1,0.963492895107038
"s__Lactobacillus_reuteri","s__Lactobacillus_reuteri","CRC",0.00138482963592833,0.00112939398904816,0.220134505518821,4,0,4.72632855102449e-06,0.614170358994589,0,1,13.1629257011379,NA,9.84363921013981,58.7521628266687,18.2412722620536,1,0.569185729316777
"s__Prevotella_intermedia","s__Prevotella_intermedia","CRC",0.00677027080019002,0.00251961587832934,0.00720915615164951,4,1.25882143806835e-05,2.08576956452662e-05,0.117276154140781,51.6776656271676,2.06943644792586,27.7178625918785,NA,39.5064874319877,16.9118719247145,15.8637780514193,1,0.0987406202093569
"s__Lactococcus_phage_936_sensu_lato","s__Lactococcus_phage_936_sensu_lato","CRC",0.000156617240585583,0.00157517711279665,0.920798184673133,2,2.22267665317537e-06,7.24838950595142e-06,0.183912029239406,43.3660396576337,1.7657250066122,58.9171591702371,NA,NA,NA,41.082840829763,1,0.972540511971995
"s__Collinsella_tanakaei","s__Collinsella_tanakaei","CRC",0.000171502085424999,0.00179470493934974,0.923869999101488,5,5.91373203970886e-06,1.13706326659236e-05,0.528467575447922,38.8109791431196,1.63428011430184,53.5468421269076,3.19106486205652,23.7751893239324,6.13540796055337,13.3514957265501,1,0.972540511971995
"s__Chlorobium_phaeobacteroides","s__Chlorobium_phaeobacteroides","CRC",-5.60184966494115e-05,8.71389437017933e-05,0.520312300448551,3,0,2.49376982008315e-08,0.992149393637956,0,1,28.3780929213388,NA,NA,14.1364214461762,57.485485632485,1,0.806041009706876
"s__Fusobacterium_mortiferum","s__Fusobacterium_mortiferum","CRC",0.000828674086832014,0.0015984823527598,0.60417012244198,4,3.85610581752049e-06,9.91837673168123e-06,0.323986919725685,31.2352942116406,1.4542343903539,65.4080303392453,NA,20.1179765162757,4.54869245800163,9.92530068647742,1,0.858145407156667
"s__Morganella_morganii","s__Morganella_morganii","CRC",0.000112439246490907,0.000170125542995217,0.508664099449772,4,2.17029323538305e-08,3.60794238174985e-07,0.362063527853052,3.5203547002674,1.036488055997,92.8075919487298,NA,5.5366171429194,1.05149201652774,0.604298891823042,1,0.794172335915127
"s__Porphyromonas_gingivalis","s__Porphyromonas_gingivalis","CRC",0.000155351494153048,0.000242206431471948,0.521262057930273,4,1.10980190567975e-07,1.83322100465811e-07,0.181262840608177,53.5639190724903,2.15349784052852,29.70277361611,NA,21.5278298716387,0.737713130795018,48.0316833814562,1,0.806041009706876
"s__Selenomonas_sputigena","s__Selenomonas_sputigena","CRC",0.000247081911100265,0.000143225744757827,0.0845054535428926,4,1.46773958203309e-08,7.58975062465047e-08,0.453638265161218,13.8046502816439,1.16015539500392,21.9563516751151,NA,3.1161751204195,63.4107919516842,11.5166812527813,1,0.389529900140572
"s__Streptococcus_downei","s__Streptococcus_downei","CRC",0.000248233734312609,0.000231413506616261,0.283412594981106,2,0,3.81656683632072e-07,0.470451590084767,0,1,88.8306854063508,NA,NA,11.1693145936492,NA,1,0.630749115672835
"s__Gardnerella_vaginalis","s__Gardnerella_vaginalis","CRC",1.11711928996813e-05,7.81459942068405e-05,0.886327415736551,4,0,3.05063130177407e-08,0.511809956597878,0,1,77.7180148535084,NA,5.17703620716758,14.9933217256104,2.11162721371364,1,0.963492895107038
"s__Alloprevotella_unclassified","s__Alloprevotella_unclassified","CRC",0.000228704110425815,0.000160776255552476,0.154881355580371,4,0,8.7133398359894e-08,0.67254475800273,0,1,19.3695343112913,NA,56.391527133688,1.66225610190296,22.5766824531178,1,0.512958862074178
"s__Lactobacillus_phage_PL_1","s__Lactobacillus_phage_PL_1","CRC",0.000289371322937288,0.000253514769551168,0.253687811444806,3,5.38703555098915e-08,2.33267233517377e-07,0.299974086973203,21.083630110172,1.26716421624064,69.1805519867095,4.81980677350609,NA,NA,25.9996412397844,1,0.602423289616215
"s__Cellulophaga_unclassified","s__Cellulophaga_unclassified","CRC",7.61097799221906e-05,0.00026080255444497,0.770417279450621,4,1.68223664464387e-07,2.22143801290042e-07,0.0455599718738493,62.6076583023644,2.67434441011014,28.809102860565,NA,21.5241064322047,27.4438516879503,22.2229390192799,1,0.950155216027386
"s__Prevotella_denticola","s__Prevotella_denticola","CRC",0.00162675284474515,0.00102327196612066,0.111889793991712,3,1.46650121778578e-06,3.4593508533463e-06,0.187414285597956,43.1464309966784,1.7589045288284,25.9336137716014,NA,57.1038455127715,NA,16.9625407156272,1,0.42979889120626
"s__Alloprevotella_tannerae","s__Alloprevotella_tannerae","CRC",0.00286537897903875,0.00116924652288439,0.0142610396190857,4,0,4.53510690147487e-06,0.991723229186329,0,1,51.6831273287161,NA,10.1725731245559,7.7724663526565,30.3718331940715,1,0.135340062267401
"s__Prevotella_nigrescens","s__Prevotella_nigrescens","CRC",0.00212296365866305,0.00238867880703744,0.374131743861195,3,1.26084146540633e-05,1.72786587436158e-05,0.144062662341711,93.1737643766506,14.6493624770211,44.2820766263289,NA,42.97540873961,NA,12.7425146340612,1,0.699149668064937
"s__Prevotella_oris","s__Prevotella_oris","CRC",0.000371720227666521,0.000338516788892468,0.272167349444531,4,8.80295820750862e-08,7.97494864096114e-07,0.417032454307861,6.86460737604186,1.07370567925513,85.8957058689081,NA,1.21541291961283,10.427432700724,2.4614485107551,1,0.624276158726738
"s__Slackia_exigua","s__Slackia_exigua","CRC",0.00042377609000398,0.000151191969802615,0.00506452475590797,4,4.98683591811359e-09,7.62641173121513e-08,0.343801245306612,5.09410947812917,1.05367537726181,24.4358667401531,NA,44.0862683130863,16.257395873645,15.2204690731156,1,0.0942780762253637
"s__Bacteroides_sp_1_1_6","s__Bacteroides_sp_1_1_6","CRC",0.000548561915731819,0.000997185717654894,0.582243872780803,3,0,3.19080646988077e-06,0.706784552100711,0,1,26.2357874491867,NA,53.419091608989,NA,20.3451209418243,1,0.836219686723765
